239686;Салат из соленых помидоров с луком;100;31.35;1;25614
239687;Котлеты, соус;100/50/10;64.52;1;25614
239688;Каша пшеничная рассыпчатая;200;10.4;1;25614
239689;Чай с сахаром;200;5.92;1;25614
239690;Пирожок с яблоком;100;14.22;1;25614
239691;Хлеб пшеничный;100;6.75;1;25614
239678;Салат "Столичный";100;29.86;1;25613
239679;Суп гороховый с гренками;300/30/10;35.49;1;25613
239680;Биточки рубленые в соусе;100/50/5;75.35;1;25613
239681;Макароны отварные;200;8.08;1;25613
239682;Компот из  сухофруктов;200;7.38;1;25613
239683;Плюшка;75;11.97;1;25613
239684;Хлеб пшеничный;120;8.09;1;25613
239685;Заправка горчичная;20;0.77;1;25613
239672;Масло сливочное;10;5.74;1;25612
239673;Ветчина;30;20.16;1;25612
239674;Каша молочная "Дружба";300;31.14;1;25612
239675;Вареники по-домашнему с адыг. сыром со сметаной;220;62.78;1;25612
239676;Чай с сахаром;200;5.92;1;25612
239677;Хлеб пшеничный;80;5.4;1;25612
239667;Салат из свежей капусты с маслом;100;10.17;1;25611
239668;Рагу  овощное со  свининой;300/10;79.22;1;25611
239669;Чай с сахаром;200;5.92;1;25611
239670;Пирожок с творогом;100;17.45;1;25611
239671;Хлеб пшеничный;100;6.75;1;25611
239659;Салат из редьки по-кабардински;100;19.99;1;25610
239660;Борщ украинский со сметаной;300/20/10;29.72;1;25610
239661;Поджарка из свинины;100;66.53;1;25610
239662;Каша гречневая;200;13.4;1;25610
239663;Компот из яблок и ягод;200;7.52;1;25610
239664;Булочка с маком;75;21.72;1;25610
239665;Хлеб пшеничный;120;8.09;1;25610
239666;Заправка горчичная;20;0.77;1;25610
239653;Масло сливочное;10;5.74;1;25609
239654;Колбаса п/к;20;10.29;1;25609
239655;Каша рисовая молочная;300;32.92;1;25609
239656;Омлет натуральный , икра кабачковая;165/50;62.61;1;25609
239657;Кофе черный;200;20.06;1;25609
239658;Хлеб пшеничный;80;5.4;1;25609
239647;Грибы маринованные с луком;100;35.67;1;25608
239648;Котлеты, соус;100/50/10;64.52;1;25608
239649;Макароны отварные;200;8.08;1;25608
239650;Чай с сахаром;200;5.92;1;25608
239651;Пирожок с капустой;100;13.41;1;25608
239652;Хлеб пшеничный;100;6.75;1;25608
239621;Салат из свеклы и зел.горошка;100;20.29;1;25607
239622;Суп с грибами и сметаной;300/20/10;42.41;1;25607
239623;Курица запеченная , соус белый;120/50/5;92.75;1;25607
239624;Рис отварной;200;14.93;1;25607
239625;Компот из  сухофруктов;200;7.38;1;25607
239626;Булочка ванильная;75;10.46;1;25607
239627;Хлеб пшеничный;120;8.09;1;25607
239628;Заправка горчичная;20;0.77;1;25607
239629;Грибы маринованные с луком;100;35.67;;25607
239630;Салат столичный;100;70.94;;25607
239631;Солянка по-домашнему со сметаной;300/20/10;57.42;;25607
239632;Суп-харчо;300/20/10;50.72;;25607
239633;Бифштекс рубленый  с яйцом , аджика;140/30/5;133.61;;25607
239634;Бефстроганов;150/10;112.92;;25607
239635;Картофель запеченный , зел. горошек;200/30;38.87;;25607
239636;Каша гречневая;200;13.4;;25607
239637;Сметана;150;34.17;;25607
239638;Чай с сахаром и лимоном;200;8.65;;25607
239639;Кофе черный;200;20.06;;25607
239640;Сок фруктовый;200;51.83;;25607
239641;Фреш мандариновый;200;110.59;;25607
239642;Коржик молочный;100;15.55;;25607
239643;Блины с творогом и сметаной;145/20;35.56;;25607
239644;Ватрушка с сыром;100;30.22;;25607
239645;Вода минеральная с газом 0,5;1;57.6;;25607
239646;Вода минеральная без газа 0,5;1;53.22;;25607
239615;Масло сливочное;10;5.74;1;25606
239616;Сыр;20;21.47;1;25606
239617;Каша молочная ячневая;300;32.43;1;25606
239618;Пельмени по-домашнему со сметаной;220;67.31;1;25606
239619;Чай с сахаром;200;5.92;1;25606
239620;Хлеб пшеничный;80;5.4;1;25606
239485;Салат из квашенной капусты;100;20.54;1;25593
239486;Салат из свеклы с грецким орехом;100;28.38;;25593
239487;Запеканка из творога;175/10;84.93;;25593
239488;Солянка домашняя..;300;60.64;1;25593
239489;Суп-пюре из шампиньонов;300;39.56;;25593
239490;Котлеты домашние;100;55.19;1;25593
239491;Карп припущенный в молоке;150;91.83;;25593
239492;Филе куриное  с клюквенным соусом  и запеченными яблоками;250;158.87;;25593
239493;Пюре картофельное;200;24.3;1;25593
239494;Рис с овощами;200;30.67;;25593
239495;Напиток из ягод;200;11.21;1;25593
239496;Булочка с изюмом;75;15.52;1;25593
239497;Хлеб пшеничный;80;6.11;1;25593
239498;Сметана.;100;22.77;;25593
239499;Сок томатный;200;46.09;;25593
239500;Сок в ассортименте;200;46.09;;25593
239501;Вода минеральная газированная;500;55.37;;25593
239502;Чай Гринфилд;200;8.11;;25593
239468;Салат из белокочанной капусты с яблоками и сельдереем;100;15.39;1;25592
239469;Салат из кур с сыром и яйцом;100;70.25;;25592
239470;Яйцо под майонезом с зеленым горошком;110;41.93;;25592
239471;Суп-харчо;315/10;42.11;1;25592
239472;Борщ полтавский с галушками;315/30;69.75;;25592
239473;Биточки по-казацки;150;74.69;1;25592
239474;Гуляш из говядины;175;127.52;;25592
239475;Филе индейки отварное по кабордински.;170;130.82;;25592
239476;Макароны отварные;200;15.59;1;25592
239477;Гречка отварная;200;14.15;;25592
239478;Напиток из ягод;200;11.21;1;25592
239479;Булочка с изюмом;75;15.52;1;25592
239480;Хлеб пшеничный;80;6.11;1;25592
239481;Чай Гринфилд;200;8.11;;25592
239482;Вода минеральная газированная;500;55.37;;25592
239483;Сметана.;100;22.77;;25592
239484;Сок томатный;200;46.09;;25592
239430;Салат из свеклы с черносливом, чесноком;100;18.06;1;25590
239431;Салат Оригинальный с семгой слабосоленой;100;85.78;;25590
239432;Желе из клюквы;150;28.47;;25590
239433;Суп-лапша домашняя;300/10;33.74;1;25590
239434;Борщ сибирский с фасолью;315/10;20.9;;25590
239435;Котлеты  рубленные из птицы;100;59.52;1;25590
239436;Свинные отбивные под яблочной корочкой;180;135.5;;25590
239437;Рыба, тушенная в томате  с овощами;200;171.87;;25590
239438;Капуста тушеная.;200;28.9;1;25590
239439;Рис отварной.;200;15.8;;25590
239440;Булочка корицей;70;12.34;1;25590
239441;Напиток из ягод;200;11.21;1;25590
239442;Хлеб пшеничный;80;6.11;1;25590
239443;Сметана.;100;22.77;;25590
